name;brand;gender;scent_direction;top_notes;middle_notes;base_notes;season;personality;occasion;price
Sauvage;Dior;Male;Fresh;grapefruit, mint, pear;rose, lavender, sage;tonka bean, vanilla, cedarwood;All Year;Confident;Casual;Mid
Chanel No. 5;Chanel;Female;Floral;pear, grapefruit, lemon;sage, jasmine, violet;patchouli, vanilla, amber;Winter;Bold;Evening;High
Bleu de Chanel;Chanel;Male;Woody;pepper, mint, pear;violet, rose, lavender;patchouli, amber, tonka bean;All Year;Confident;Formal;High
Light Blue;Dolce & Gabbana;Female;Fruity;pepper, bergamot, mandarin;rose, tuberose, lavender;musk, sandalwood, patchouli;Summer;Playful;Daytime;Mid
Aventus;Creed;Male;Fruity;pear, lemon, mandarin;cardamom, lavender, rose;sandalwood, musk, cedarwood;All Year;Bold;Formal;High
Black Opium;Yves Saint Laurent;Female;Sweet;bergamot, mint, pear;tuberose, rose, violet;vanilla, cedarwood, musk;Winter;Confident;Night Out;Mid
Oud Wood;Tom Ford;Unisex;Woody;pepper, lemon, bergamot;cardamom, violet, tuberose;sandalwood, patchouli, tonka bean;Winter;Mysterious;Formal;High
Baccarat Rouge 540;Maison Francis Kurkdjian;Unisex;Sweet;pear, bergamot, mint;sage, tuberose, cardamom;tonka bean, musk, amber;Winter;Luxurious;Evening;High
Acqua di Gio;Armani;Male;Aquatic;mandarin, lemon, bergamot;rose, violet, sage;musk, amber, cedarwood;Summer;Relaxed;Casual;Mid
La Vie Est Belle;Lancôme;Female;Sweet;pepper, mandarin, bergamot;sage, tuberose, lavender;tonka bean, vanilla, amber;Autumn;Bold;Evening;Mid
Delina;Parfums de Marly;Female;Fruity;mandarin, bergamot, pear;violet, sage, cardamom;vanilla, musk, sandalwood;Spring;Artistic;Formal;High
Santal 33;Le Labo;Unisex;Woody;grapefruit, bergamot, mint;cardamom, jasmine, sage;amber, patchouli, vanilla;Autumn;Artistic;Evening;High
Fahrenheit;Dior;Male;Spicy;grapefruit, pepper, lemon;sage, lavender, violet;patchouli, amber, sandalwood;Autumn;Bold;Evening;Mid
Good Girl;Carolina Herrera;Female;Sweet;pepper, pear, mandarin;violet, cardamom, lavender;tonka bean, musk, cedarwood;Winter;Artistic;Night Out;Mid
By the Fireplace;Maison Margiela;Unisex;Woody;mandarin, grapefruit, pepper;lavender, jasmine, cardamom;sandalwood, patchouli, musk;Winter;Luxurious;Evening;Mid
Flowerbomb;Viktor & Rolf;Female;Floral;pear, mandarin, pepper;cardamom, tuberose, rose;tonka bean, musk, sandalwood;Spring;Romantic;Evening;Mid
